event,campaign,home,away
15740,FB17-PlayoffWeek150,Miramar-High-School,Park-Vista-High-School
15744,FB17-PlayoffWeek151,Christopher-Columbus-High-School,Homestead-Senior-High-School
17510,FB17-PlayoffWeek152,Cathedral-City-High-School,Redlands-East-Valley-High-School
16347,FB17-PlayoffWeek153,Archer-High-School,no-opponent-given
17523,FB17-PlayoffWeek154,Grandview-High-School,Lakewood-High-School
15548,FB17-PlayoffWeek155,Madison-County-High-School,Union-County-High-School
15546,FB17-PlayoffWeek156,Blountstown-High-School,Jefferson-County-High-School
15062,FB17-PlayoffWeek157,Santa-Rosa-High-School,Maria-Carrillo-High-School
15048,FB17-PlayoffWeek158,Foothill-High-School,James-Logan-High-School
15066,FB17-PlayoffWeek159,Casa-Grande-High-School,Montgomery-High-School
15063,FB17-PlayoffWeek160,Livermore-High-School,Alameda-High-School
15050,FB17-PlayoffWeek161,Antioch-High-School,Irvington-High-School
15051,FB17-PlayoffWeek162,California-High-School,Dublin-High-School
17517,FB17-PlayoffWeek163,Cherry-Creek-High-School,Ralston-Valley-Senior-High-School
15563,FB17-PlayoffWeek164,Saint-Francis-Catholic-Academy,Seven-Rivers-Christian-School
15580,FB17-PlayoffWeek165,Lakeland-Christian-School,Calvary-Christian-High-School
15581,FB17-PlayoffWeek166,Chaminade-Madonna-College-Prep-High-School,American-Heritage-School
15582,FB17-PlayoffWeek167,The-Benjamin-School,Everglades-Prep-Academy
15593,FB17-PlayoffWeek168,Bradford-High-School,Keystone-Heights-High-School
15594,FB17-PlayoffWeek169,Dunnellon-High-School,Trenton-High-School
15595,FB17-PlayoffWeek170,Cocoa-High-School,Lake-Placid-Senior-High-School
15596,FB17-PlayoffWeek171,Avon-Park-High-School,Lake-Highland-Preparatory-School
15597,FB17-PlayoffWeek172,Nova-Southeastern-University,Glades-Central-High-School
15606,FB17-PlayoffWeek173,West-Florida-High-School,James-S.-Rickards-High-School
15609,FB17-PlayoffWeek174,Godby-High-School,Ponte-Vedra-High-School
15615,FB17-PlayoffWeek175,Hardee-Senior-High-School,Dunbar-High-School
15616,FB17-PlayoffWeek176,Jefferson-Senior-High-School,Jesuit-High-School
17521,FB17-PlayoffWeek177,Eaglecrest-High-School,Fountain-Fort-Carson-High-School
15082,FB17-PlayoffWeek178,Rancho-Cotate-High-School,Las-Lomas-High-School
15080,FB17-PlayoffWeek179,Cardinal-Newman-High-School,John-F-Kennedy-High-School
15095,FB17-PlayoffWeek180,Hercules-High-School,Ygnacio-Valley-High-School
15109,FB17-PlayoffWeek181,Fort-Bragg-High-School,Willits-High-School
15093,FB17-PlayoffWeek182,Moreau-Catholic-High-School,Napa-Justin-Siena-High-School
15096,FB17-PlayoffWeek183,Harker-High-School,Sonoma-Valley-High-School
15106,FB17-PlayoffWeek184,Cloverdale-High-School,CIF-North-Coast-Section
15083,FB17-PlayoffWeek185,Eureka-High-School,Alhambra-High-School
15077,FB17-PlayoffWeek186,Miramonte-High-School,El-Cerrito-High-School
15092,FB17-PlayoffWeek187,Fortuna-Union-High-School,Salesian-High-School
15618,FB17-PlayoffWeek188,American-Heritage-School,Merritt-Island-High-School
15620,FB17-PlayoffWeek189,Jones-High-School,Cardinal-Gibbons-High-School
15621,FB17-PlayoffWeek190,Rockledge-High-School,Palm-Bay-Magnet-High-School
17509,FB17-PlayoffWeek191,Cathedral-City-High-School,Redlands-East-Valley-High-School
17518,FB17-PlayoffWeek192,Pomona-Catholic-School,Don-Antonio-Lugo-High-School
17529,FB17-PlayoffWeek193,Brunswick-High-School,Northside-High-School
17528,FB17-PlayoffWeek194,Kingsburg-High-School,Chowchilla-Union-High-School
17526,FB17-PlayoffWeek195,Longmont-High-School,Skyview-Academy
15643,FB17-PlayoffWeek196,Escambia-High-School,Pine-Forest-High-School
15650,FB17-PlayoffWeek197,Fort-Myers-High-School,Palmetto-Ridge-High-School
15654,FB17-PlayoffWeek198,Heritage-High-School,Miami-Central-High-School
17357,FB17-PlayoffWeek199,no-home-team-given,Roswell-High-School
17369,FB17-PlayoffWeek200,Alpharetta-High-School,Gainesville-High-School
17379,FB17-PlayoffWeek201,Starr's-Mill-High-School,Dutchtown-High-School
15886,FB17-PlayoffWeek202,Sheldon-High-School,COSUMNES-OAKS-HIGH-SCHOOL
15883,FB17-PlayoffWeek203,Vacaville-High-School,Monterey-Trail-High-School
15885,FB17-PlayoffWeek204,Saint-Mary's-High-School,Edison-High-School
15887,FB17-PlayoffWeek205,Gregori-High-School,Franklin-High-School
15898,FB17-PlayoffWeek206,Sacramento-Charter-High-School,Will-C-Wood-High-School
15896,FB17-PlayoffWeek207,Granite-Bay-High-School,Luther-Burbank-Senior-High-School
15701,FB17-PlayoffWeek208,Bartram-Trail-High-School,East-Ridge-High-School
15708,FB17-PlayoffWeek209,Viera-High-School,Gaither-High-School
15713,FB17-PlayoffWeek210,St-Thomas-Aquinas-High-School,South-Miami-Senior-High-School
15903,FB17-PlayoffWeek211,Inderkum-High-School,Vintage-High-School
15734,FB17-PlayoffWeek212,Flagler-Palm-Coast-High-School,Boone-High-School
15736,FB17-PlayoffWeek213,Osceola-High-School,Manatee-High-School
15737,FB17-PlayoffWeek214,Dr.-Phillips-High-School,Ridge-Community-Senior-High-School
17365,FB17-PlayoffWeek215,Mceachern-High-School,Etowah-High-School
17253,FB17-PlayoffWeek216,Central-High-School,Theodore-High-School
17259,FB17-PlayoffWeek217,Hillcrest-High-School,Stanhope-Elmore-High-School
17260,FB17-PlayoffWeek218,Daphne-High-School,Opelika-High-School
17261,FB17-PlayoffWeek219,Park-Crossing-High-School,Bessemer-City-High-School
17262,FB17-PlayoffWeek220,McAdory-High-School,G.W.-Carver-High-School
17625,FB17-PlayoffWeek221,Kahuku-High-School,Wai'anae-High-School
17268,FB17-PlayoffWeek222,Ramsay-High-School,Cullman-High-School
17270,FB17-PlayoffWeek223,Muscle-Shoals-High-School,Gardendale-High-School
17272,FB17-PlayoffWeek224,Clay-Chalkville-High-School,Athens-High-School
17273,FB17-PlayoffWeek225,Homewood-High-School,Fort-Payne-High-School
17274,FB17-PlayoffWeek226,Calera-High-School,Jackson-High-School
17266,FB17-PlayoffWeek227,Pell-City-High-School,Shades-Valley-High-School
17271,FB17-PlayoffWeek228,Oxford-High-School,Hueytown-High-School
17275,FB17-PlayoffWeek229,Beauregard-High-School,Greenville-High-School
17276,FB17-PlayoffWeek230,Saint-Paul's-Episcopal-School,Marbury-High-School
17277,FB17-PlayoffWeek231,Carroll-High-School,Talladega-High-School
17278,FB17-PlayoffWeek232,Central-High-School-Of-Clay-County,Charles-Henderson-High-School
17279,FB17-PlayoffWeek233,Demopolis-High-School,Williamson-High-School
17290,FB17-PlayoffWeek234,Tallassee-High-School,Thomasville-High-School
17292,FB17-PlayoffWeek235,UMS-Wright-Prep-School,Leeds-High-School
17293,FB17-PlayoffWeek236,Montgomery-Catholic-Preparatory-School,Sipsey-Valley-High-School
17295,FB17-PlayoffWeek237,Munford-High-School,W-S-Neal-High-School
17296,FB17-PlayoffWeek238,Saint-James-School,West-Blocton-High-School
17297,FB17-PlayoffWeek239,Andalusia-High-School,Childersburg-High-School
17298,FB17-PlayoffWeek240,Madison-Academy,Hokes-Bluff-High-School
17299,FB17-PlayoffWeek241,Rogers-High-School,Haleyville-High-School
17302,FB17-PlayoffWeek242,Wilson-High-School,Cordova-High-School
17304,FB17-PlayoffWeek243,Dora-High-School,Deshler-High-School
17305,FB17-PlayoffWeek244,Saks-High-School,Westminster-Christian-Academy
17306,FB17-PlayoffWeek245,Pike-County-High-School,Mobile-Christian-High-School
17307,FB17-PlayoffWeek246,Gordo-High-School,Providence-Christian-School
17308,FB17-PlayoffWeek247,Clarke-County-High-School,Selma-High-School
17309,FB17-PlayoffWeek248,Wicksburg-High-School,Midfield-High-School
17301,FB17-PlayoffWeek249,Fayette-County-High-School,West-Limestone-High-School
17281,FB17-PlayoffWeek250,Vigor-High-School,Jemison-High-School
17282,FB17-PlayoffWeek251,Guntersville-High-School,St-Clair-County-High-School
17283,FB17-PlayoffWeek252,Mae-Jemison-High-School,Corner-High-School
17284,FB17-PlayoffWeek253,Wenonah-High-School,Alexandria-High-School
17285,FB17-PlayoffWeek254,Mortimer-Jordan-High-School,Lawrence-County-High-School
17286,FB17-PlayoffWeek255,Brooks-High-School,West-Point-High-School
17287,FB17-PlayoffWeek256,Etowah-High-School,Pleasant-Grove-High-School
17288,FB17-PlayoffWeek257,Hayden-High-School,Lee-High-School
17310,FB17-PlayoffWeek258,American-Christian-Academy,Slocomb-High-School
17311,FB17-PlayoffWeek259,Montgomery-Academy,Bayside-Academy
17312,FB17-PlayoffWeek260,Daleville-High-School,Oakman-High-School
17313,FB17-PlayoffWeek261,Hillcrest-High-School,Prattville-Christian-Academy
16953,FB17-PlayoffWeek262,Durham-High-School,Hamilton-High-School
17321,FB17-PlayoffWeek263,Piedmont-High-School,Geraldine-High-School
17314,FB17-PlayoffWeek264,Sylvania-High-School,Ohatchee-High-School
17317,FB17-PlayoffWeek265,Fultondale-High-School,Colbert-County-High-School
17319,FB17-PlayoffWeek266,Plainview-High-School,Weaver-High-School
17322,FB17-PlayoffWeek267,Luverne-High-School,J-U-Blacksher-High-School
17323,FB17-PlayoffWeek268,Aliceville-High-School,Samson-High-School
17324,FB17-PlayoffWeek269,Leroy-High-School,Elba-High-School
17325,FB17-PlayoffWeek270,Ariton-High-School,Robert-C-Hatch-High-School
17326,FB17-PlayoffWeek271,Thorsby-High-School,Geneva-County-High-School
17327,FB17-PlayoffWeek272,Goshen-High-School,Southern-Choctaw-High-School
17328,FB17-PlayoffWeek273,Abbeville-High-School,Keith-High-School
17329,FB17-PlayoffWeek274,St.-Luke's-Episcopal-School,New-Brockton-High-School
17330,FB17-PlayoffWeek275,Falkville-High-School,Reeltown-High-School
17332,FB17-PlayoffWeek276,Lafayette-High-School,Cleveland-High-School
17336,FB17-PlayoffWeek277,Sand-Rock-High-School,Mars-Hill-Bible-School
17333,FB17-PlayoffWeek278,Fyffe-High-School,Sheffield-High-School
17335,FB17-PlayoffWeek279,Tarrant-High-School,Ranburne-High-School
17315,FB17-PlayoffWeek280,West-Morgan-High-School,Holly-Pond-High-School
17316,FB17-PlayoffWeek281,Randolph-County-High-School,North-Sand-Mountain-High-School
17318,FB17-PlayoffWeek282,Colbert-Heights-High-School,Locust-Fork-High-School
17320,FB17-PlayoffWeek283,J.B.-Pennington-High-School,Lauderdale-County-High-School
17337,FB17-PlayoffWeek284,Lanett-High-School,Tanner-High-School
17338,FB17-PlayoffWeek285,Isabella-High-School,Millry-High-School
17339,FB17-PlayoffWeek286,Wadley-High-School,Pleasant-Home-High-School
17341,FB17-PlayoffWeek287,Georgiana-High-School,Winterboro-High-School
17342,FB17-PlayoffWeek288,Talladega-County-Central-High-School,Houston-County-High-School
17344,FB17-PlayoffWeek289,Brantley-School,Ragland-High-School
17345,FB17-PlayoffWeek290,Sweet-Water-High-School,Notasulga-High-School
17346,FB17-PlayoffWeek291,Addison-High-School,Hubbertville--School
17241,FB17-PlayoffWeek292,Summit-High-School,Page-High-School
17392,FB17-PlayoffWeek293,Marvin-Ridge-High-School,Sun-Valley-High-School
17347,FB17-PlayoffWeek294,Hackleburg-High-School,Woodville-High-School
17348,FB17-PlayoffWeek295,South-Lamar-School,Decatur-Heritage-Christian-Academy
17350,FB17-PlayoffWeek296,Cherokee-High-School,Coosa-Christian-School
17351,FB17-PlayoffWeek297,Lynn-High-School,Holy-Spirit-Catholic-High-School
17352,FB17-PlayoffWeek298,Spring-Garden-High-School,Phillips-High-School
17353,FB17-PlayoffWeek299,Pickens-County-High-School,Meek-High-School
17648,FB17-PlayoffWeek300,Lompoc-High-School,Adolfo-Camarillo-High-School
17370,FB17-PlayoffWeek301,Allatoona-High-School,Langston-Hughes-High-School
17373,FB17-PlayoffWeek302,Centennial-High-School,Lanier-High-School
17374,FB17-PlayoffWeek303,Harrison-High-School,Alexander-High-School
17375,FB17-PlayoffWeek304,Stephenson-High-School,Heritage-High-School
17376,FB17-PlayoffWeek305,Glynn-Academy,Valdosta-High-School
17377,FB17-PlayoffWeek306,Southwest-DeKalb-High-School,Banneker-High-School
17372,FB17-PlayoffWeek307,Tucker-High-School,Lakeside-High-School
17378,FB17-PlayoffWeek308,Rome-High-School,Cedar-Shoals-High-School
17300,FB17-PlayoffWeek309,Jacksonville-High-School,Randolph-School
17502,FB17-PlayoffWeek310,Oscar-Frommel-Smith-High-School,Frank-Cox-High-School
17393,FB17-PlayoffWeek311,New-Hanover-High-School,West-Brunswick-High-School
17388,FB17-PlayoffWeek312,E.-E.-Smith-High-School,Northeast-Guilford-High-School
17389,FB17-PlayoffWeek313,Eastern-Guilford-High-School,Hillside-High-School
17394,FB17-PlayoffWeek314,Terry-Sanford-High-School,Rocky-Mount-Academy
17497,FB17-PlayoffWeek315,Lord-Botetourt-High-School,Tunstall-Senior-High-School
17488,FB17-PlayoffWeek316,Appomattox-County-High-School,Martinsville-High-School
17489,FB17-PlayoffWeek317,Brooke-Point-High-School,Orange-County-High-School
17492,FB17-PlayoffWeek318,George-Wythe-High-School,Parry-Mccluer-High-School
17494,FB17-PlayoffWeek319,Harrisonburg-High-School,Albemarle-High-School
17495,FB17-PlayoffWeek320,Hopewell-High-School,Southampton-High-School
17496,FB17-PlayoffWeek321,James-River-High-School,Riverbend-High-School
17498,FB17-PlayoffWeek322,Manchester-High-School,Clover-Hill-High-School
17499,FB17-PlayoffWeek323,Nansemond-River-High-School,Princess-Anne-High-School
17500,FB17-PlayoffWeek324,Narrows-High-School,Rural-Retreat-High-School
17501,FB17-PlayoffWeek325,North-Stafford-High-School,Mountain-View-High-School
17503,FB17-PlayoffWeek326,Patrick-Henry-High-School,Thomas-Walker-High-School
17504,FB17-PlayoffWeek327,Ridgeview-High-School,Grayson-County-High-School
17245,FB17-PlayoffWeek328,Christ-Presbyterian-Academy,Webb-School-Of-Knoxville
17264,FB17-PlayoffWeek329,Sidney-Lanier-High-School,Paul-W.-Bryant-High
17254,FB17-PlayoffWeek330,Bob-Jones-High-School,Mountain-Brook-High-School
15107,FB17-PlayoffWeek331,Arcata-High-School,Elsie-Allen-High-School
17571,FB17-PlayoffWeek332,Wayne-High-School,Sissonville-High-School
17560,FB17-PlayoffWeek333,Huntington-High-School,South-Charleston-High-School
17577,FB17-PlayoffWeek334,Madonna-High-School,Sherman-Senior-High-School
17578,FB17-PlayoffWeek335,Tug-Valley-High-School,Pocahontas-County-High-School
15900,FB17-PlayoffWeek336,Modesto-Central-Catholic-High-School,Stagg-High-School
15911,FB17-PlayoffWeek337,Oakdale-High-School,Ronald-E.-Mcnair-High-School
15912,FB17-PlayoffWeek338,Yuba-City-High-School,Vanden-High-School
15915,FB17-PlayoffWeek339,Christian-Brothers-High-School,Benicia-High-School
15916,FB17-PlayoffWeek340,Los-Banos-High-School,Rio-Linda-Senior-High-School
15918,FB17-PlayoffWeek341,Manteca-High-School,Rio-Americano-High-School
15926,FB17-PlayoffWeek342,Placer-High-School,Natomas-High-School
17267,FB17-PlayoffWeek343,Austin-High-School,Carver-High-School
17340,FB17-PlayoffWeek344,Marengo-High-School,Highland-Home-High-School
17349,FB17-PlayoffWeek345,Cedar-Bluff-High-School,Waterloo-High-School
17303,FB17-PlayoffWeek346,Sardis-High-School,Cherokee-County-High-School
17561,FB17-PlayoffWeek347,Hedgesville-High-School,Hurricane-High-School
17562,FB17-PlayoffWeek348,Spring-Valley-High-School,George-Washington-High-School
17564,FB17-PlayoffWeek349,Martinsburg-High-School,Morgantown-High-School
17565,FB17-PlayoffWeek350,Parkersburg-High-School,John-Marshall-High-School
17566,FB17-PlayoffWeek351,University-High-School,Spring-Mills-High-School
17567,FB17-PlayoffWeek352,Capital-High-School,Wheeling-Park-High-School
17568,FB17-PlayoffWeek353,Mingo-Central-High-School,Robert-C.-Byrd-High-School
17569,FB17-PlayoffWeek354,Liberty-High-School,Nicholas-County-High-School
16965,FB17-PlayoffWeek355,Pleasant-Valley-High-School,Enterprise-High-School
